Tarea,Inicio,Fin
INICIO DEL PROYECTO,2024-07-22 07:00:00,2024-07-22 07:00:00
EJECUCIÓN DE LA OBRA,2024-07-22 07:00:00,2024-10-31 17:00:00
  FASE 1,2024-07-22 07:00:00,2024-09-30 17:00:00
    Red aguas residuales (Externa),2024-07-22 07:00:00,2024-09-08 17:00:00
      Construcción de cerramientos y campamentos,2024-07-22 07:00:00,2024-07-29 17:00:00
      Localización y replanteo,2024-07-25 07:00:00,2024-08-03 17:00:00
      Demoliciones y retiros,2024-08-01 07:00:00,2024-08-10 17:00:00
      Excavaciones y entibados,2024-08-05 07:00:00,2024-08-22 17:00:00
        Tramo MHRD4A-MHRD5,2024-08-05 07:00:00,2024-08-07 17:00:00
          Manhole MHRD5,2024-08-05 07:00:00,2024-08-07 17:00:00
        Tramo MHRD4A-MHRD4,2024-08-08 07:00:00,2024-08-13 17:00:00
          Manhole MHRD4A,2024-08-08 07:00:00,2024-08-10 17:00:00
          Manhole MHRD4,2024-08-11 07:00:00,2024-08-13 17:00:00
        Tramo MHRD4-MHRD3,2024-08-14 07:00:00,2024-08-16 17:00:00
          Manhole MHRD3,2024-08-14 07:00:00,2024-08-16 17:00:00
        Tramo MHRD3-MHRD2,2024-08-17 07:00:00,2024-08-19 17:00:00
          Manhole MHRD2,2024-08-17 07:00:00,2024-08-19 17:00:00
        Tramo MHRD2-MHRD1,2024-08-20 07:00:00,2024-08-22 17:00:00
          Manhole MHRD1,2024-08-20 07:00:00,2024-08-22 17:00:00
      Cargue de material de excavación,2024-08-20 07:00:00,2024-09-08 17:00:00
      Nivelación y colocación de cama de triturado para tuberia,2024-08-06 07:00:00,2024-08-22 17:00:00
        Tramo MHRD4A-MHRD5,2024-08-06 07:00:00,2024-08-07 17:00:00
        Tramo MHRD4A-MHRD4,2024-08-09 07:00:00,2024-08-10 17:00:00
        Tramo MHRD4-MHRD3,2024-08-12 07:00:00,2024-08-13 17:00:00
        Tramo MHRD3-MHRD2,2024-08-18 07:00:00,2024-08-19 17:00:00
